code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
HR-30;CL-008;ИП Новиков С.С.;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-008;ИП Новиков С.С.;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-008;ИП Новиков С.С.;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
TAX-NDFL-P1;CL-008;ИП Новиков С.С.;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-008;ИП Новиков С.С.;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
HR-10;CL-007;ООО «Бар Панорама»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Полный
TAX-NDFL-N2;CL-007;ООО «Бар Панорама»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-007;ООО «Бар Панорама»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
PAY-20;CL-007;ООО «Бар Панорама»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-05;2026-10-08;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-007;ООО «Бар Панорама»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-06;2026-10-09;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-SFR-P;CL-007;ООО «Бар Панорама»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
REP-6NDFL;CL-007;ООО «Бар Панорама»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-007;ООО «Бар Панорама»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-007;ООО «Бар Панорама»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-007;ООО «Бар Панорама»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-007;ООО «Бар Панорама»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-007;ООО «Бар Панорама»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
PAY-10;CL-007;ООО «Бар Панорама»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-20;2026-10-23;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-P1;CL-007;ООО «Бар Панорама»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-007;ООО «Бар Панорама»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-006;ООО «Гранд Логистика»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Полный
PAY-20;CL-006;ООО «Гранд Логистика»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Полный
PAY-30;CL-006;ООО «Гранд Логистика»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Полный
TAX-NDFL-N2;CL-006;ООО «Гранд Логистика»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
TAX-NDFL-P2;CL-006;ООО «Гранд Логистика»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SFR-P;CL-006;ООО «Гранд Логистика»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Полный
PAY-10;CL-006;ООО «Гранд Логистика»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Полный
REP-6NDFL;CL-006;ООО «Гранд Логистика»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Полный
REP-RSV;CL-006;ООО «Гранд Логистика»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Полный
REP-EFS2;CL-006;ООО «Гранд Логистика»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Полный
HR-30;CL-006;ООО «Гранд Логистика»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Полный
TAX-NDFL-N1;CL-006;ООО «Гранд Логистика»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Полный
HR-20;CL-006;ООО «Гранд Логистика»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Полный
TAX-NDFL-P1;CL-006;ООО «Гранд Логистика»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Полный
TAX-SV-P;CL-006;ООО «Гранд Логистика»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Полный
HR-10;CL-009;ООО «МедиаЛаб»;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
PAY-20;CL-009;ООО «МедиаЛаб»;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-009;ООО «МедиаЛаб»;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-N2;CL-009;ООО «МедиаЛаб»;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-009;ООО «МедиаЛаб»;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SFR-P;CL-009;ООО «МедиаЛаб»;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
PAY-10;CL-009;ООО «МедиаЛаб»;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
REP-6NDFL;CL-009;ООО «МедиаЛаб»;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-009;ООО «МедиаЛаб»;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-009;ООО «МедиаЛаб»;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
HR-30;CL-009;ООО «МедиаЛаб»;ЕФС-1 подраздел 1.1 по кадровым мероприятиям месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/hr-events.md;ФЗ-27 ст. 11;Стандарт
TAX-NDFL-N1;CL-009;ООО «МедиаЛаб»;Уведомление по НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-19;2026-10-22;2026-10-26;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
HR-20;CL-009;ООО «МедиаЛаб»;Оформление кадровых документов (приём, перевод, увольнение, отпуска);Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-20;2026-10-23;;B;60;checklists/hr-events.md;ТК РФ;Стандарт
TAX-NDFL-P1;CL-009;ООО «МедиаЛаб»;Уплата НДФЛ за период с 1 по 22 число;Налоги;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SV-P;CL-009;ООО «МедиаЛаб»;Уплата страховых взносов за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 431;Стандарт
DOC-10;CL-003;ИП Кузнецов Д.А.;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Базовый
ACC-10;CL-003;ИП Кузнецов Д.А.;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Базовый
DOC-20;CL-003;ИП Кузнецов Д.А.;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Базовый
DOC-40;CL-003;ИП Кузнецов Д.А.;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Базовый
ACC-20;CL-003;ИП Кузнецов Д.А.;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Базовый
ACC-30;CL-003;ИП Кузнецов Д.А.;Проверка кассовой дисциплины и сверка с ОФД;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;30;checklists/kassa.md;Указание ЦБ 3210-У, ФЗ-54;Базовый
DOC-30;CL-003;ИП Кузнецов Д.А.;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Базовый
ACC-50;CL-003;ИП Кузнецов Д.А.;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Базовый
ACC-70;CL-003;ИП Кузнецов Д.А.;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Базовый
ACC-60;CL-003;ИП Кузнецов Д.А.;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Базовый
CLI-10;CL-003;ИП Кузнецов Д.А.;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Базовый
REP-KUDIR;CL-003;ИП Кузнецов Д.А.;Актуализация и проверка КУДиР;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;Приказ ФНС ЕД-7-3/816;Базовый
REP-STAT;CL-003;ИП Кузнецов Д.А.;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Базовый
TAX-USN-N;CL-003;ИП Кузнецов Д.А.;Уведомление по авансовому платежу УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/usn.md;НК РФ ст. 58 п. 9;Базовый
CLI-30;CL-003;ИП Кузнецов Д.А.;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Базовый
DOC-50;CL-003;ИП Кузнецов Д.А.;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Базовый
TAX-USN-P;CL-003;ИП Кузнецов Д.А.;Уплата авансового платежа УСН за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/usn.md;НК РФ ст. 346.21;Базовый
QC-20;CL-003;ИП Кузнецов Д.А.;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Базовый
DOC-10;CL-010;ООО «Импорт Трейд»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-010;ООО «Импорт Трейд»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-010;ООО «Импорт Трейд»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-010;ООО «Импорт Трейд»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-010;ООО «Импорт Трейд»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-010;ООО «Импорт Трейд»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-40;CL-010;ООО «Импорт Трейд»;Учёт ВЭД: валютный контроль, ГТД, курсовые разницы;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-09;2026-10-14;;A;90;checklists/ved.md;ФЗ-173, НК РФ гл. 21;Полный
ACC-50;CL-010;ООО «Импорт Трейд»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Полный
NDS-10;CL-010;ООО «Импорт Трейд»;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;120;checklists/nds.md;НК РФ гл. 21;Полный
ACC-70;CL-010;ООО «Импорт Трейд»;Контроль сальдо ЕНС и сверка с ФНС;Учёт;октябрь 2026;ACCT;Иванова А.С.;2026-10-13;2026-10-16;;A;30;checklists/ens.md;НК РФ ст. 11.3;Полный
REP-NDS;CL-010;ООО «Импорт Трейд»;Декларация по НДС за III квартал 2026;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/nds.md;НК РФ ст. 174;Полный
REP-PRIB;CL-010;ООО «Импорт Трейд»;Декларация по налогу на прибыль за 9 месяцев 2026;Отчётность;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-14;2026-10-19;2026-10-26;A;120;checklists/reporting.md;НК РФ ст. 289;Полный
ACC-60;CL-010;ООО «Импорт Трейд»;Сверка взаиморасчётов с ключевыми контрагентами;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;90;;ФЗ-402 ст. 11;Полный
CLI-10;CL-010;ООО «Импорт Трейд»;Отчёт клиенту за сентябрь 2026: налоги, статус документов, риски;Клиентский сервис;сентябрь 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;A;30;checklists/client-report.md;Договор;Полный
REP-STAT;CL-010;ООО «Импорт Трейд»;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;III квартал 2026;ACCT;Иванова А.С.;2026-10-15;2026-10-20;;B;45;;ФЗ-282;Полный
ACC-90;CL-010;ООО «Импорт Трейд»;Отчёт по прослеживаемым товарам / контроль маркировки;Учёт;III квартал 2026;ACCT;Иванова А.С.;2026-10-16;2026-10-21;2026-10-26;B;60;;ПП РФ 1108;Полный
CLI-30;CL-010;ООО «Импорт Трейд»;Сверка объёма услуг, акт и счёт за сентябрь 2026;Клиентский сервис;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-19;2026-10-22;;B;20;;Договор;Полный
DOC-50;CL-010;ООО «Импорт Трейд»;Архивирование документов закрытого периода;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-20;2026-10-23;;C;20;;ФЗ-402 ст. 29;Полный
TAX-NDS-P;CL-010;ООО «Импорт Трейд»;Уплата 1/3 НДС за III квартал 2026;Налоги;III квартал 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;checklists/nds.md;НК РФ ст. 174 п. 1;Полный
TAX-PRIB-P;CL-010;ООО «Импорт Трейд»;Уплата налога на прибыль за 9 месяцев 2026;Налоги;9 месяцев 2026;ACCT;Иванова А.С.;2026-10-22;2026-10-27;2026-10-28;A;15;;НК РФ ст. 287;Полный
QC-20;CL-010;ООО «Импорт Трейд»;Контроль квитанций и протоколов по отправленной отчётности;Контроль;октябрь 2026;ACCT;Иванова А.С.;2026-10-23;2026-10-28;;A;20;checklists/reporting.md;Регламент агентства;Полный
DOC-10;CL-001;ООО «Северный Ветер»;Запрос первичных документов за сентябрь 2026;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-01;2026-10-01;;B;15;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-10;CL-001;ООО «Северный Ветер»;Разнесение банковских выписок за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-05;2026-10-08;;A;60;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-20;CL-001;ООО «Северный Ветер»;Контроль поступления первички, реестр недостающих документов;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-05;2026-10-08;;B;30;checklists/doc-sbor.md;Регламент агентства;Полный
DOC-40;CL-001;ООО «Северный Ветер»;Обработка ЭДО и загрузка сканов в 1С;Первичка;сентябрь 2026;ASSIST;Иванова А.С.;2026-10-06;2026-10-09;;B;60;checklists/doc-sbor.md;Регламент агентства;Полный
ACC-20;CL-001;ООО «Северный Ветер»;Проведение поступлений и реализаций за сентябрь 2026;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;A;120;checklists/close-month.md;ФЗ-402 ст. 9;Полный
DOC-30;CL-001;ООО «Северный Ветер»;Эскалация по непредоставленным документам (письмо-претензия клиенту);Первичка;сентябрь 2026;ACCT;Иванова А.С.;2026-10-07;2026-10-12;;B;20;checklists/escalation.md;Договор, п. об обязанностях клиента;Полный
ACC-40;CL-001;ООО «Северный Ветер»;Учёт ВЭД: валютный контроль, ГТД, курсовые разницы;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-09;2026-10-14;;A;90;checklists/ved.md;ФЗ-173, НК РФ гл. 21;Полный
ACC-50;CL-001;ООО «Северный Ветер»;Экспресс-проверка и закрытие месяца в 1С;Учёт;сентябрь 2026;ACCT;Иванова А.С.;2026-10-12;2026-10-15;;A;60;checklists/close-month.md;Регламент агентства;Полный
